Class Name;Current Object Name;Current Description;New Object Name;New Description
Área Temática da Transf. em Lei;Ide Area Tematica;;Ide Area Tematica;
Área Temática da Transf. em Lei;Nome Área Temática Transf. Lei;Apresenta a lista com os temas que são cadastradas as proposições após terem sido transformadas em lei. Uma proposição pode ter sido cadastrada em um tema e quando transformada em lei pode ser classificada em outro tema;Nome Área Temática Transf. Lei;Apresenta a lista com os temas que são cadastradas as proposições após terem sido transformadas em lei. Uma proposição pode ter sido cadastrada em um tema e quando transformada em lei pode ser classificada em outro tema
Área Temática da Transf. em Lei;Cod Area Tematica Origem Transf. Lei;;Cod Area Tematica Origem Transf. Lei;
Sessão Leg. da Apresentação;Num Legislatura Apresentação;"Número que identifica uma Legislatura que é o  espaço temporal de maior duração em que o Congresso Nacional exerce suas atividades denomina-se legislatura, que dura quatro anos e coincide com o mandato dos Deputados Federais. A legislatura tem inicio em 1° de fevereiro do ano seguinte ao da eleição e se encerra em 31 de janeiro do ano seguinte à próxima. Em cada legislatura ocorrem quatro sessões legislativas ordinárias e recessos parlamentares. Podem ocorrer também sessões legislativas extraordinárias. Por exemplo:
51ª legislatura: de 01/02/1999 a 31/01/2003
52ª legislatura: de 01/02/2003 a 31/01/2007
53ª legislatura: de 01/02/2007 a 31/01/2011
54ª legislatura: de 01/02/2011 a 31/01/2015
";Num Legislatura Apresentação;"Número que identifica uma Legislatura que é o  espaço temporal de maior duração em que o Congresso Nacional exerce suas atividades denomina-se legislatura, que dura quatro anos e coincide com o mandato dos Deputados Federais. A legislatura tem inicio em 1° de fevereiro do ano seguinte ao da eleição e se encerra em 31 de janeiro do ano seguinte à próxima. Em cada legislatura ocorrem quatro sessões legislativas ordinárias e recessos parlamentares. Podem ocorrer também sessões legislativas extraordinárias. Por exemplo:
51ª legislatura: de 01/02/1999 a 31/01/2003
52ª legislatura: de 01/02/2003 a 31/01/2007
53ª legislatura: de 01/02/2007 a 31/01/2011
54ª legislatura: de 01/02/2011 a 31/01/2015
"
Sessão Leg. da Apresentação;Num Sessao Legislativa Apresentação;Corresponde ao número que identifica a sessão legislativa. A sessão legislativa correspondente ao ano de trabalho parlamentar , iniciando-se em 02 de fevereiro e encerrando-se em 22 de dezembro. Cada legislatura possui 4 sessões legislativas ordinárias. Por exemplo:                                                          54ª legislatura                                                         1ª sessão legislativa: de 02/02/2011 a 22/12/2011       2ª sessão legislativa: 02/02/2012 a 22/12/2012                  3ª sessão legislativa: 02/02/2013 a 22/12/2013                 4ª sessão legislativa: 02/02/2014 a 22/12/2014;Num Sessao Legislativa Apresentação;Corresponde ao número que identifica a sessão legislativa. A sessão legislativa correspondente ao ano de trabalho parlamentar , iniciando-se em 02 de fevereiro e encerrando-se em 22 de dezembro. Cada legislatura possui 4 sessões legislativas ordinárias. Por exemplo:                                                          54ª legislatura                                                         1ª sessão legislativa: de 02/02/2011 a 22/12/2011       2ª sessão legislativa: 02/02/2012 a 22/12/2012                  3ª sessão legislativa: 02/02/2013 a 22/12/2013                 4ª sessão legislativa: 02/02/2014 a 22/12/2014
Sessão Leg. da Apresentação;Sessão_Leg_Tipo;Identifica as sessões legislativas quanto ao seu tipo: ordinária ou extraordinária. As sessões legislativas ordinárias  correspondem ao ano de trabalho parlamentar , iniciando-se em 02 de fevereiro e encerrando-se em 22 de dezembro, com recesso parlamentar de 18 a 31 de julho. A sessão legislativa extraordinária é o período de trabalho do Congresso Nacional fora da sessão legislativa ordinária, ou seja, entre 18 e 31 de julho;Sessão_Leg_Tipo;Identifica as sessões legislativas quanto ao seu tipo: ordinária ou extraordinária. As sessões legislativas ordinárias  correspondem ao ano de trabalho parlamentar , iniciando-se em 02 de fevereiro e encerrando-se em 22 de dezembro, com recesso parlamentar de 18 a 31 de julho. A sessão legislativa extraordinária é o período de trabalho do Congresso Nacional fora da sessão legislativa ordinária, ou seja, entre 18 e 31 de julho
Sessão Leg. da Apresentação;Tipo Sessão Legislativa Apresentação;Identifica as proposições quanto ao tipo de sessão legislativa em que foi apresentada: sessão legislativa ordinária ou extraordinária;Tipo Sessão Legislativa Apresentação;Identifica as proposições quanto ao tipo de sessão legislativa em que foi apresentada: sessão legislativa ordinária ou extraordinária
Sessão Leg. da Apresentação;Cod Tipo Sessao Legislativa Apresentação;;Cod Tipo Sessao Legislativa Apresentação;
Sessão Leg. da Apresentação;Data Início Legislatura;Apresenta a data completa de início de cada legislatura:                                                            51ª Legislatura: 1/2/1999                                            52ª Legislatura: 1/2/2003                                        53ª Legislatura: 1/2/2007                                        54ª Legislatura: 1/2/2011;Data Início Legislatura;Apresenta a data completa de início de cada legislatura:                                                            51ª Legislatura: 1/2/1999                                            52ª Legislatura: 1/2/2003                                        53ª Legislatura: 1/2/2007                                        54ª Legislatura: 1/2/2011
Sessão Leg. da Apresentação;Data Fim Legislatura;Apresenta a data completa de fim de cada legislatura:                                                            51ª Legislatura: 31/1/2003                                           52ª Legislatura: 31/1/2007                                        53ª Legislatura: 31/1/2011                                        54ª Legislatura: 31/1/2015;Data Fim Legislatura;Apresenta a data completa de fim de cada legislatura:                                                            51ª Legislatura: 31/1/2003                                           52ª Legislatura: 31/1/2007                                        53ª Legislatura: 31/1/2011                                        54ª Legislatura: 31/1/2015
