Class Name;Current Object Name;Current Description;New Object Name;New Description
Data de Apresentação;Texsemestre;Retona as proposições de acordo com o semestre de apresentação (1º semestre ou 2º semestre);Texsemestre;Retona as proposições de acordo com o semestre de apresentação (1º semestre ou 2º semestre)
Data de Apresentação;Codsemestre;Retona as proposições de acordo com o semestre de apresentação (1º ou 2º);Codsemestre;Retona as proposições de acordo com o semestre de apresentação (1º ou 2º)
Data de Apresentação;Idetempo;;Idetempo;
Data de Apresentação;Codquadrimestre;Recupera as proposições apresentadas de acordo com o quadrimestre de apresentação (1º, 2º, 3º);Codquadrimestre;Recupera as proposições apresentadas de acordo com o quadrimestre de apresentação (1º, 2º, 3º)
Data de Apresentação;Texquadrimestre;Recupera as proposições apresentadas de acordo com o quadrimestre de apresentação (1º semestre, 2º semestre, 3º semestre);Texquadrimestre;Recupera as proposições apresentadas de acordo com o quadrimestre de apresentação (1º semestre, 2º semestre, 3º semestre)
Data de Apresentação;Codtrimestre;Recupera as proposições apresentadas de acordo com o trimestre de apresentação (1º, 2º, 3º, 4º);Codtrimestre;Recupera as proposições apresentadas de acordo com o trimestre de apresentação (1º, 2º, 3º, 4º)
Data de Apresentação;Textrimestre;Recupera as proposições apresentadas de acordo com o trimestre de apresentação (1º semestre, 2º semestre, 3º semestre, 4º semestre);Textrimestre;Recupera as proposições apresentadas de acordo com o trimestre de apresentação (1º semestre, 2º semestre, 3º semestre, 4º semestre)
Data de Apresentação;Codbimestre;Retorna as proposições de acordo com o bimestre de apresentação (1º, 2º, 3º, 4º, 5º, 6º);Codbimestre;Retorna as proposições de acordo com o bimestre de apresentação (1º, 2º, 3º, 4º, 5º, 6º)
Data de Apresentação;Texbimestre;Retorna as proposições de acordo com o bimestre de apresentação (1º semestre, 2º semestre, 3º semestre, 4º semestre, 5º semestre, 6º semestre);Texbimestre;Retorna as proposições de acordo com o bimestre de apresentação (1º semestre, 2º semestre, 3º semestre, 4º semestre, 5º semestre, 6º semestre)
Data de Apresentação;Codsemana;Recupera as proposições de acordo com a semana de apresentação. Um ano de 365 dias possui 52 semanas;Codsemana;Recupera as proposições de acordo com a semana de apresentação. Um ano de 365 dias possui 52 semanas
Data de Apresentação;Texsemana;Recupera as proposições de acordo com a semana de apresentação. Por exemplo: de 20/09 a 27/09;Texsemana;Recupera as proposições de acordo com a semana de apresentação. Por exemplo: de 20/09 a 27/09
Data de Apresentação;Texdiasemana;Retronas as proposições de acordo com o dia da semana de apresentação;Texdiasemana;Retronas as proposições de acordo com o dia da semana de apresentação
Data de Apresentação;Coddiajuliano;;Coddiajuliano;
Data de Apresentação;Indferiado;Apresenta a opção de escolher ou não a indicação de feriado;Indferiado;Apresenta a opção de escolher ou não a indicação de feriado
Data de Apresentação;Indexpediente;Apresenta a opção de escolher ou não a indicação de expediente;Indexpediente;Apresenta a opção de escolher ou não a indicação de expediente
Data de Apresentação;Texnaoexpediente;Apresenta os nomes das possibilidades em que não há expediente;Texnaoexpediente;Apresenta os nomes das possibilidades em que não há expediente
Data Transformação em Lei;Data Transformação Completa;Apresenta a data completa de transformação da proposição em lei;Data Transformação Completa;Apresenta a data completa de transformação da proposição em lei
Data Transformação em Lei;Ano;Retorna as proposições de acordo com o ano de transformação em lei;Ano;Retorna as proposições de acordo com o ano de transformação em lei
Data Transformação em Lei;Mes;Retorna as proposições de acordo com o mês de transformação em lei;Mes;Retorna as proposições de acordo com o mês de transformação em lei
Data Transformação em Lei;Dia;Retorna as proposições de acordo com o dia de transformação em lei;Dia;Retorna as proposições de acordo com o dia de transformação em lei
Data Transformação em Lei;Nome mes;Retona as proposições de acordo com o nome do mês de transformação em lei;Nome mes;Retona as proposições de acordo com o nome do mês de transformação em lei
Data Transformação em Lei;Texsemana;Recupera as proposições de acordo com a semana de transformação em lei. Por exemplo: de 20/09 a 27/09;Texsemana;Recupera as proposições de acordo com a semana de transformação em lei. Por exemplo: de 20/09 a 27/09
Data Transformação em Lei;Idetempo;;Idetempo;
Data Transformação em Lei;Codsemestre;Retona as proposições de acordo com o semestre de transformação em lei (1º ou 2º);Codsemestre;Retona as proposições de acordo com o semestre de transformação em lei (1º ou 2º)
Data Transformação em Lei;Texsemestre;Retona as proposições de acordo com o semestre de transformação em lei (1º semestre ou 2º semestre);Texsemestre;Retona as proposições de acordo com o semestre de transformação em lei (1º semestre ou 2º semestre)
Data Transformação em Lei;Codquadrimestre;Recupera as proposições apresentadas de acordo com o quadrimestre de transformação em lei (1º, 2º, 3º);Codquadrimestre;Recupera as proposições apresentadas de acordo com o quadrimestre de transformação em lei (1º, 2º, 3º)
Data Transformação em Lei;Texquadrimestre;Recupera as proposições apresentadas de acordo com o quadrimestre de transformação em lei (1º quadrimestre, 2º quadrimestre, 3º quadrimestre);Texquadrimestre;Recupera as proposições apresentadas de acordo com o quadrimestre de transformação em lei (1º quadrimestre, 2º quadrimestre, 3º quadrimestre)
Data Transformação em Lei;Codtrimestre;Recupera as proposições apresentadas de acordo com o trimestre de transformação em lei (1º, 2º, 3º, 4º);Codtrimestre;Recupera as proposições apresentadas de acordo com o trimestre de transformação em lei (1º, 2º, 3º, 4º)
Data Transformação em Lei;Textrimestre;Recupera as proposições apresentadas de acordo com o trimestre de transformação em lei (1º trimestre, 2º trimestre, 3º trimestre, 4º trimestre);Textrimestre;Recupera as proposições apresentadas de acordo com o trimestre de transformação em lei (1º trimestre, 2º trimestre, 3º trimestre, 4º trimestre)
Data Transformação em Lei;Codbimestre;Retorna as proposições de acordo com o bimestre de transformação em lei (1º, 2º, 3º, 4º, 5º, 6º);Codbimestre;Retorna as proposições de acordo com o bimestre de transformação em lei (1º, 2º, 3º, 4º, 5º, 6º)
Data Transformação em Lei;Texbimestre;Retorna as proposições de acordo com o bimestre de transformação em lei (1º bimestre, 2º bimestre, 3º bimestre, 4º bimestre, 5º bimestre, 6º bimestre);Texbimestre;Retorna as proposições de acordo com o bimestre de transformação em lei (1º bimestre, 2º bimestre, 3º bimestre, 4º bimestre, 5º bimestre, 6º bimestre)
Data Transformação em Lei;Codsemana;Recupera as proposições de acordo com a semana de transformação em lei. Um ano de 365 dias possui 52 semanas;Codsemana;Recupera as proposições de acordo com a semana de transformação em lei. Um ano de 365 dias possui 52 semanas
Data Transformação em Lei;Texdiasemana;Recupera as proposições de acordo com a semana de transformação em lei. Por exemplo: de 20/09 a 27/09;Texdiasemana;Recupera as proposições de acordo com a semana de transformação em lei. Por exemplo: de 20/09 a 27/09
Data Transformação em Lei;Coddiajuliano;NÃO ENTENDI;Coddiajuliano;NÃO ENTENDI
Data Transformação em Lei;Indferiado;Apresenta a opção de escolher ou não a indicação de feriado;Indferiado;Apresenta a opção de escolher ou não a indicação de feriado
Data Transformação em Lei;Indexpediente;Apresenta a opção de escolher ou não a indicação de expediente;Indexpediente;Apresenta a opção de escolher ou não a indicação de expediente
Data Transformação em Lei;Texnaoexpediente;Apresenta os nomes das possibilidades em que não há expediente;Texnaoexpediente;Apresenta os nomes das possibilidades em que não há expediente
Data Veto Total;Data Veto Total Completa;Retorna a data completa em que as proposições transformadas em lei sofreram veto total ;Data Veto Total Completa;Retorna a data completa em que as proposições transformadas em lei sofreram veto total 
Data Veto Total;Ano;Retorna as proposições trasformadas em lei de acordo com o ano que sofreram veto total;Ano;Retorna as proposições trasformadas em lei de acordo com o ano que sofreram veto total
Data Veto Total;Mes;Retorna as proposições trasformadas em lei de acordo com o mês que sofreram veto total;Mes;Retorna as proposições trasformadas em lei de acordo com o mês que sofreram veto total
Data Veto Total;Dia;Retorna as proposições trasformadas em lei de acordo com o dia que sofreram veto total;Dia;Retorna as proposições trasformadas em lei de acordo com o dia que sofreram veto total
Data Veto Total;Nome Mes;Retorna as proposições trasformadas em lei de acordo com o nome do mês que sofreram veto total;Nome Mes;Retorna as proposições trasformadas em lei de acordo com o nome do mês que sofreram veto total
Data Veto Total;Idetempo;;Idetempo;
Data Veto Total;Codsemestre;Retona as proposições transformadas em lei de acordo com o semestre do veto total (1º ou 2º);Codsemestre;Retona as proposições transformadas em lei de acordo com o semestre do veto total (1º ou 2º)
Data Veto Total;Texsemestre;Retona as proposições transformadas em lei de acordo com o semestre do veto total (1º semestre ou 2º semestre);Texsemestre;Retona as proposições transformadas em lei de acordo com o semestre do veto total (1º semestre ou 2º semestre)
Data Veto Total;Codquadrimestre;Retona as proposições transformadas em lei de acordo com o quadrimestre do veto total (1º, 2º, 3º);Codquadrimestre;Retona as proposições transformadas em lei de acordo com o quadrimestre do veto total (1º, 2º, 3º)
Data Veto Total;Texquadrimestre;Retona as proposições transformadas em lei de acordo com o quadrimestre do veto total (1º quadrimestre, 2º quadrimestre, 3º quadrimestre);Texquadrimestre;Retona as proposições transformadas em lei de acordo com o quadrimestre do veto total (1º quadrimestre, 2º quadrimestre, 3º quadrimestre)
Data Veto Total;Codtrimestre;Retona as proposições transformadas em lei de acordo com o trimestre do veto total (1º, 2º, 3º, 4º);Codtrimestre;Retona as proposições transformadas em lei de acordo com o trimestre do veto total (1º, 2º, 3º, 4º)
Data Veto Total;Textrimestre;Retona as proposições transformadas em lei de acordo com o trimestre do veto total (1º trimestre, 2º trimestre, 3º trimestre, 4º trimestre);Textrimestre;Retona as proposições transformadas em lei de acordo com o trimestre do veto total (1º trimestre, 2º trimestre, 3º trimestre, 4º trimestre)
Data Veto Total;Codbimestre;Retona as proposições transformadas em lei de acordo com o bimestre do veto total (1º, 2º, 3º, 4º, 5º, 6º);Codbimestre;Retona as proposições transformadas em lei de acordo com o bimestre do veto total (1º, 2º, 3º, 4º, 5º, 6º)
Data Veto Total;Texbimestre;Retona as proposições transformadas em lei de acordo com o bimestre do veto total (1º bimestre, 2º bimestre, 3º bimestre, 4º bimestre, 5º bimestre, 6º bimestre);Texbimestre;Retona as proposições transformadas em lei de acordo com o bimestre do veto total (1º bimestre, 2º bimestre, 3º bimestre, 4º bimestre, 5º bimestre, 6º bimestre)
Data Veto Total;Codsemana;Retorna as proposições transformadas em lei de acordo com a semana do veto total. Um ano de 365 dias possui 52 semanas;Codsemana;Retorna as proposições transformadas em lei de acordo com a semana do veto total. Um ano de 365 dias possui 52 semanas
Data Veto Total;Texsemana;Retorna as proposições transformadas em lei de acordo com a semana do veto total. Por exemplo: 20/09-27/09;Texsemana;Retorna as proposições transformadas em lei de acordo com a semana do veto total. Por exemplo: 20/09-27/09
Data Veto Total;Texdiasemana;Retorna as proposições transformadas em lei de acordo com o dia da semana que sofreram veto total;Texdiasemana;Retorna as proposições transformadas em lei de acordo com o dia da semana que sofreram veto total
Data Veto Total;Coddiajuliano;;Coddiajuliano;
Data Veto Total;Indferiado;Apresenta a opção de escolher ou não a indicação de feriado;Indferiado;Apresenta a opção de escolher ou não a indicação de feriado
Data Veto Total;Indexpediente;Apresenta a opção de escolher ou não a indicação de expediente;Indexpediente;Apresenta a opção de escolher ou não a indicação de expediente
Data Veto Total;Texnaoexpediente;Apresenta os nomes das possibilidades em que não há expediente;Texnaoexpediente;Apresenta os nomes das possibilidades em que não há expediente
Data Atualização Dados;Data Atualizacao Dados;Informa a data em que os dados foram atualizados pela última vez;Data Atualizacao Dados;Informa a data em que os dados foram atualizados pela última vez
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
